Day,Meal,Menu_Item
Monday,Breakfast,"Pongal, Medu Vadai, Sambar, Coconut Chutney, Tea/Coffee/Milk"
Monday,Lunch,"Rice, Black Channa Kulambu, Keerai Kootu, Rasam, Buttermilk, Gulab Jamun"
Monday,Dinner,"Dosai, Sambar, Kara Chutney, Milk"
Tuesday,Breakfast,"Idly, Tomato Kurma, Coconut Chutney, Tea/Coffee/Milk"
Tuesday,Lunch,"Rice, Sambar, Beetroot Poriyal, Rasam, Butter Milk, Vadagam, Pickle"
Tuesday,Dinner,"Chappathi, Veg Kurma, Lemon Juice"
Wednesday,Breakfast,"Uthappam, Sambar, Groundnut Chutney, Tea/Coffee/Milk"
Wednesday,Lunch,"Rice, Chicken Gravy, Rasam, Curd, Lemon Juice"
Wednesday,Dinner,"Idly, Sambar, Coconut Chutney, Podi, Oil, Badam Milk"
Thursday,Breakfast,"Rava Kitchadi, Kurma, Bread, Jam, Tea/Coffee/Milk"
Thursday,Lunch,"Rice, Egg Gravy with Boiled Egg, Rasam, Buttermilk, Appalam, Pickle"
Thursday,Dinner,"Tomato Rice, Brinjal Gravy, Appalam, Boost"
Friday,Breakfast,"Idly, Sambar, Coconut Chutney, Tea/Coffee/Milk"
Friday,Lunch,"Rice, Dhall, Seasonal Poriyal, Rasam, Podi, Ghee, Payasam, Appalam, Curd, Pickle"
Friday,Dinner,"Chappathi, Paneer Gravy, Lemon Juice"
Saturday,Breakfast,"Poori, Potato Masala, Coconut Chutney, Tea/Coffee/Milk"
Saturday,Lunch,"Rice, Brinjal Kara Kulambu, Kovaikkai Poriyal, Rasam, Butter Milk, Appalam, Pickle"
Saturday,Dinner,"Dosai, Sambar, Kara Chutney, Milk"
Sunday,Breakfast,"Bread Omelet, Kurma, Semiya Kesari, Butter, Jam, Tea/Coffee/Milk"
Sunday,Lunch,"Chicken Biriyani, Chicken 65, Onion Kurma, Raitha, Rasam, Ice Cream"
Sunday,Dinner,"Sambar Rice, Curd Rice, Potato Chips, Banana"